,model,no_offload_kqv,flash_attn,n_gpu_layers,promptlen,prompt_tokens,prompt_seconds,prompttps,completion_tokens,gen_seconds,gentps,overhead_seconds
92,IQ4_NL,False,False,33,5120,5342,1.3774094870314002,3881.198765025008,257,4.314981460571289,59.32818074405039,0.230056076310575
93,IQ4_NL,False,False,33,8192,8532,2.5462029734626412,3350.871901778173,257,4.662517309188843,54.905962385486,0.2514558592811227
94,IQ4_NL,False,False,33,11264,11716,4.096678990886045,2851.0898769429346,257,5.1598217487335205,49.61411701147143,0.2740607448075534
95,IQ4_NL,False,False,33,15360,15999,6.734195575118065,2375.7848760903416,257,5.628777742385864,45.48056642426417,0.2960156053304672
96,IQ4_NL,False,True,28,128,135,0.17164240404963493,786.5189301413023,257,13.045912265777588,19.62300487575304,0.27033792063593864
97,IQ4_NL,False,True,28,1024,1066,0.5253110704943538,2015.9483770319334,257,13.45883822441101,19.020958252970097,0.21622260194271803
98,IQ4_NL,False,True,28,2048,2140,0.8687259098514915,2463.377661161082,257,14.710759162902832,17.402229019259142,0.21446026768535376
99,IQ4_NL,False,True,28,3072,3199,1.2681334726512432,2522.605127133787,257,16.17638397216797,15.825539282478513,0.23978359624743462
100,IQ4_NL,False,True,28,5120,5341,1.905095455236733,2803.534061938283,257,18.956024885177612,13.504941122976446,0.2384923668578267
101,IQ4_NL,False,True,28,8192,8511,3.317399937659502,2565.563441230633,257,23.43769359588623,10.922576445189682,0.24137016013264656
102,IQ4_NL,False,True,28,11264,11719,4.612107329070568,2542.00502362607,257,28.263425588607788,9.057642329922901,0.2597268149256706
103,IQ4_NL,False,True,28,15360,15360,6.404422611775606,2398.342665856882,238,30.05639386177063,7.885177479705753,0.27038917023202647
104,IQ4_NL,False,True,32,128,133,0.1368425339460373,971.9200322061226,257,7.161913633346558,35.74463657423058,0.2413962334394455
105,IQ4_NL,False,True,32,1024,1066,0.3141350606456399,3393.4448380548693,257,7.174476623535156,35.68204531606075,0.21534560713917017
106,IQ4_NL,False,True,32,2048,2119,0.5187882268801332,4167.403745843935,257,7.272977113723755,35.19879081111646,0.2285584295168519
107,IQ4_NL,False,True,32,3072,3212,0.7289193123579025,4406.523390922169,257,7.3748674392700195,34.71248834071781,0.22598199546337128
108,IQ4_NL,False,True,32,5120,5329,1.188162924721837,4485.075143417374,257,7.498882532119751,34.13841981168294,0.27207458205521107
109,IQ4_NL,False,True,32,8192,8518,1.9589285282418132,4348.295446820163,257,7.6986916065216064,33.252403536094484,0.2596327690407634
110,IQ4_NL,False,True,32,11264,11739,3.044783473489769,3855.4465702434277,257,8.279966354370117,30.918000030867844,0.2902392153720932
